ID,Type,SKU,"GTIN, UPC, EAN, or ISBN",Name,Published,Is featured?,Visibility in catalog,Short description,Description,Date sale price starts,Date sale price ends,Tax status,Tax class,In stock?,Sold individually?,Regular price,Categories,Tags,Shipping class,Images,Download limit,Download expiry days,Parent,Grouped products,Upsells,Cross-sells,External URL,Button text,Position,MnM Content Source,MnM Child Category Ids,MnM Child Items (JSON-encoded),MnM Minimum Container Size,MnM Maximum Container Size,MnM Per-Item Pricing,MnM Packing Mode,MnM Weight Cumulative,MnM Per-Item Discount,MnM Layout Override,MnM Layout,MnM Add to Cart Form Location,Brands,Bundled Items (JSON-encoded),Min Bundle Size,Max Bundle Size,Bundle Contents Virtual,Bundle Aggregate Weight,Bundle Layout,Bundle Group Mode,Bundle Cart Editing,Bundle Sold Individually,Bundle Form Location,Bundle Sells,Bundle Sells Title,Bundle Sells Discount

26021561,simple,,,"Essential Training - West Boylston, MA (Sep 20, 2025)",1,0,visible,,"<strong>Date:</strong> Sep 20, 2025
\n
\n<strong>Time: </strong>08:00 am - 06:00 pm
\n<strong>Location:</strong> West Boylston, MA
\n<strong>Instructor:</strong> Michael Racette
\n
\n<strong>Earn 12 CEUs</strong>
\n
\n<strong>Event Overview</strong>
\n
\nJoin us for the Graston Technique® Essential Training, a comprehensive workshop designed to introduce healthcare professionals to the Graston Technique® (GT) therapy, a leading instrument-assisted soft tissue mobilization (IASTM) technique. This full-day training will provide hands-on learning and education on the foundational principles and practices of GT, enabling participants to enhance their clinical skills and improve patient outcomes.
\n
\n<strong>What to Expect</strong>
\n<ul>
\n 	<li><strong>Foundational Training:</strong> Gain in-depth knowledge of the Graston Technique® therapy principles, instrument application, and treatment protocols.</li>
\n 	<li><strong>Hands-On Experience:</strong> Practice using the GT instruments in a supervised setting with direct feedback from an expert instructor.</li>
\n 	<li><strong>Clinical Applications:</strong> Learn how to integrate GT therapy into your practice to treat a wide variety of musculoskeletal conditions effectively.</li>
\n</ul>
\n<strong>Why Attend?</strong>
\n<ul>
\n 	<li>Earn <strong>12 CEUs</strong> upon completion.</li>
\n 	<li>Equip yourself with the latest techniques in instrument-assisted soft tissue mobilization.</li>
\n 	<li>Network with fellow healthcare professionals and expand your professional connections.</li>
\n</ul>
\n<strong>Registration Details</strong>
\n<ul>
\n 	<li>
\n<ul>
\n 	<li><strong>Fee:</strong> $650</li>
\n</ul>
\n</li>
\n</ul>
\n<strong>Includes:</strong> Access to online pre-course material, live group training sessions, GT instruments for use during the event, and a certificate of completion.",,,taxable,,1,0,650,"Essential Training > ESS In-Person, Essential Training",,,https://grastontechnique.com/wp-content/uploads/2024/10/EssIP_genPic.webp,,,,,,,,,0,,,,,,,,,,,,,,,,,,,,,,,,,,

26022807,simple,,,"Essential Training - Halifax, NS (Sep 20, 2025)",1,0,visible,,"<strong>Date:</strong> Sep 20, 2025
\n
\n<strong>Time: </strong>08:00 am - 06:00 pm
\n<strong>Location:</strong> Halifax, NS
\n<strong>Instructor:</strong> Dr Reena Pathak
\n
\n<strong>Earn 12 CEUs</strong>
\n
\n<strong>Event Overview</strong>
\n
\nJoin us for the Graston Technique® Essential Training, a comprehensive workshop designed to introduce healthcare professionals to the Graston Technique® (GT) therapy, a leading instrument-assisted soft tissue mobilization (IASTM) technique. This full-day training will provide hands-on learning and education on the foundational principles and practices of GT, enabling participants to enhance their clinical skills and improve patient outcomes.
\n
\n<strong>What to Expect</strong>
\n<ul>
\n 	<li><strong>Foundational Training:</strong> Gain in-depth knowledge of the Graston Technique® therapy principles, instrument application, and treatment protocols.</li>
\n 	<li><strong>Hands-On Experience:</strong> Practice using the GT instruments in a supervised setting with direct feedback from an expert instructor.</li>
\n 	<li><strong>Clinical Applications:</strong> Learn how to integrate GT therapy into your practice to treat a wide variety of musculoskeletal conditions effectively.</li>
\n</ul>
\n<strong>Why Attend?</strong>
\n<ul>
\n 	<li>Earn <strong>12 CEUs</strong> upon completion.</li>
\n 	<li>Equip yourself with the latest techniques in instrument-assisted soft tissue mobilization.</li>
\n 	<li>Network with fellow healthcare professionals and expand your professional connections.</li>
\n</ul>
\n<strong>Registration Details</strong>
\n<ul>
\n 	<li>
\n<ul>
\n 	<li><strong>Fee:</strong> $650</li>
\n</ul>
\n</li>
\n</ul>
\n<strong>Includes:</strong> Access to online pre-course material, live group training sessions, GT instruments for use during the event, and a certificate of completion.",,,taxable,,1,0,650,"Essential Training > ESS In-Person, Essential Training",,,https://grastontechnique.com/wp-content/uploads/2024/10/EssIP_genPic.webp,,,,,,,,,0,,,,,,,,,,,,,,,,,,,,,,,,,,

26023031,simple,,,"Essential Training - Cincinnati, OH (Aug 02, 2025)",-1,0,visible,,"<p><strong>Date:</strong> Aug 02, 2025</p>\n<p><strong>Time: </strong>08:00 am - 06:00 pm<br />\n<strong>Location:</strong> Cincinnati, OH<br />\n<strong>Instructor:</strong> Sheila Wilson</p>\n<p><strong>Earn 12 CEUs</strong></p>\n<p><strong>Event Overview</strong></p>\n<p>Join us for the Graston Technique® Essential Training, a comprehensive workshop designed to introduce healthcare professionals to the Graston Technique® (GT) therapy, a leading instrument-assisted soft tissue mobilization (IASTM) technique. This full-day training will provide hands-on learning and education on the foundational principles and practices of GT, enabling participants to enhance their clinical skills and improve patient outcomes.</p>\n<p><strong>What to Expect</strong></p>\n<ul>\n<li><strong>Foundational Training:</strong> Gain in-depth knowledge of the Graston Technique® therapy principles, instrument application, and treatment protocols.</li>\n<li><strong>Hands-On Experience:</strong> Practice using the GT instruments in a supervised setting with direct feedback from an expert instructor.</li>\n<li><strong>Clinical Applications:</strong> Learn how to integrate GT therapy into your practice to treat a wide variety of musculoskeletal conditions effectively.</li>\n</ul>\n<p><strong>Why Attend?</strong></p>\n<ul>\n<li>Earn <strong>12 CEUs</strong> upon completion.</li>\n<li>Equip yourself with the latest techniques in instrument-assisted soft tissue mobilization.</li>\n<li>Network with fellow healthcare professionals and expand your professional connections.</li>\n</ul>\n<p><strong>Registration Details</strong></p>\n<ul>\n<li>\n<ul>\n<li><strong>Fee:</strong> $650</li>\n</ul>\n</li>\n</ul>\n<p><strong>Includes:</strong> Access to online pre-course material, live group training sessions, GT instruments for use during the event, and a certificate of completion.</p>\n",,,taxable,,1,0,650,"Essential Training > ESS In-Person, Essential Training",,,https://grastontechnique.com/wp-content/uploads/2024/10/EssIP_genPic.webp,,,,,,,,,0,,,,,,,,,,,,,,,,,,,,,,,,,,

26023043,simple,,,"Essential Training - Pittsburgh, PA (Oct 11, 2025)",1,0,visible,,"<strong>Date:</strong> Oct 11, 2025
\n
\n<strong>Time: </strong>08:00 am - 06:00 pm
\n<strong>Location:</strong> Pittsburgh, PA
\n<strong>Instructor:</strong> Dr Reena Pathak
\n
\n<strong>Earn 12 CEUs</strong>
\n
\n<strong>Event Overview</strong>
\n
\nJoin us for the Graston Technique® Essential Training, a comprehensive workshop designed to introduce healthcare professionals to the Graston Technique® (GT) therapy, a leading instrument-assisted soft tissue mobilization (IASTM) technique. This full-day training will provide hands-on learning and education on the foundational principles and practices of GT, enabling participants to enhance their clinical skills and improve patient outcomes.
\n
\n<strong>What to Expect</strong>
\n<ul>
\n 	<li><strong>Foundational Training:</strong> Gain in-depth knowledge of the Graston Technique® therapy principles, instrument application, and treatment protocols.</li>
\n 	<li><strong>Hands-On Experience:</strong> Practice using the GT instruments in a supervised setting with direct feedback from an expert instructor.</li>
\n 	<li><strong>Clinical Applications:</strong> Learn how to integrate GT therapy into your practice to treat a wide variety of musculoskeletal conditions effectively.</li>
\n</ul>
\n<strong>Why Attend?</strong>
\n<ul>
\n 	<li>Earn <strong>12 CEUs</strong> upon completion.</li>
\n 	<li>Equip yourself with the latest techniques in instrument-assisted soft tissue mobilization.</li>
\n 	<li>Network with fellow healthcare professionals and expand your professional connections.</li>
\n</ul>
\n<strong>Registration Details</strong>
\n<ul>
\n 	<li>
\n<ul>
\n 	<li><strong>Fee:</strong> $650</li>
\n</ul>
\n</li>
\n</ul>
\n<strong>Includes:</strong> Access to online pre-course material, live group training sessions, GT instruments for use during the event, and a certificate of completion.",,,taxable,,1,0,650,"Essential Training > ESS In-Person, Essential Training",,,https://grastontechnique.com/wp-content/uploads/2024/10/EssIP_genPic.webp,,,,,,,,,0,,,,,,,,,,,,,,,,,,,,,,,,,,

26024593,simple,,,"Essential Training - Pasadena, CA (Sep 28, 2025)",1,0,visible,,"<strong>Date:</strong> Sep 28, 2025
\n
\n<strong>Time: </strong>08:00 am - 06:00 pm
\n<strong>Location:</strong> Pasadena, CA
\n<strong>Instructor:</strong> Larry Munger
\n
\n<strong>Earn 12 CEUs</strong>
\n
\n<strong>Event Overview</strong>
\n
\nJoin us for the Graston Technique® Essential Training, a comprehensive workshop designed to introduce healthcare professionals to the Graston Technique® (GT) therapy, a leading instrument-assisted soft tissue mobilization (IASTM) technique. This full-day training will provide hands-on learning and education on the foundational principles and practices of GT, enabling participants to enhance their clinical skills and improve patient outcomes.
\n
\n<strong>What to Expect</strong>
\n<ul>
\n 	<li><strong>Foundational Training:</strong> Gain in-depth knowledge of the Graston Technique® therapy principles, instrument application, and treatment protocols.</li>
\n 	<li><strong>Hands-On Experience:</strong> Practice using the GT instruments in a supervised setting with direct feedback from an expert instructor.</li>
\n 	<li><strong>Clinical Applications:</strong> Learn how to integrate GT therapy into your practice to treat a wide variety of musculoskeletal conditions effectively.</li>
\n</ul>
\n<strong>Why Attend?</strong>
\n<ul>
\n 	<li>Earn <strong>12 CEUs</strong> upon completion.</li>
\n 	<li>Equip yourself with the latest techniques in instrument-assisted soft tissue mobilization.</li>
\n 	<li>Network with fellow healthcare professionals and expand your professional connections.</li>
\n</ul>
\n<strong>Registration Details</strong>
\n<ul>
\n 	<li>
\n<ul>
\n 	<li><strong>Fee:</strong> $650</li>
\n</ul>
\n</li>
\n</ul>
\n<strong>Includes:</strong> Access to online pre-course material, live group training sessions, GT instruments for use during the event, and a certificate of completion.",,,taxable,,1,0,650,"Essential Training > ESS In-Person, Essential Training",,,https://grastontechnique.com/wp-content/uploads/2024/10/EssIP_genPic.webp,,,,,,,,,0,,,,,,,,,,,,,,,,,,,,,,,,,,

26025538,simple,,,"Essential Training - Cleveland, OH (Sep 13, 2025)",1,0,visible,,"<p><strong>Date:</strong> Sep 13, 2025</p><p><strong>Time:&nbsp;</strong>08:00 am - 06:00 pm<br><strong>Location:</strong> Cleveland, OH<br><strong>Instructor:</strong> Dr Reena Pathak</p><p><strong>Earn 12 CEUs</strong></p><p><strong>Event Overview</strong></p><p>Join us for the Graston Technique® Essential Training, a comprehensive workshop designed to introduce healthcare professionals to the Graston Technique® (GT) therapy, a leading instrument-assisted soft tissue mobilization (IASTM) technique. This full-day training will provide hands-on learning and education on the foundational principles and practices of GT, enabling participants to enhance their clinical skills and improve patient outcomes.</p><p><strong>What to Expect</strong></p><ul><li><strong>Foundational Training:</strong> Gain in-depth knowledge of the Graston Technique® therapy principles, instrument application, and treatment protocols.</li><li><strong>Hands-On Experience:</strong> Practice using the GT instruments in a supervised setting with direct feedback from an expert instructor.</li><li><strong>Clinical Applications:</strong> Learn how to integrate GT therapy into your practice to treat a wide variety of musculoskeletal conditions effectively.</li></ul><p><strong>Why Attend?</strong></p><ul><li>Earn <strong>12 CEUs</strong> upon completion.</li><li>Equip yourself with the latest techniques in instrument-assisted soft tissue mobilization.</li><li>Network with fellow healthcare professionals and expand your professional connections.</li></ul><p><strong>Registration Details</strong></p><ul><li><br><ul><li><strong>Fee:</strong> $650</li></ul></li></ul><p><strong>Includes:</strong> Access to online pre-course material, live group training sessions, GT instruments for use during the event, and a certificate of completion.</p>",,,taxable,,1,0,650,"Essential Training > ESS In-Person, Essential Training",,,https://grastontechnique.com/wp-content/uploads/2024/10/EssIP_genPic.webp,,,,,,,,,0,,,,,,,,,,,,,,,,,,,,,,,,,,

26025572,simple,,,"Essential Training - Merritt Island, FL (Sep 27, 2025)",1,0,visible,,"<p><strong>Date:</strong> Sep 27, 2025</p><p><strong>Time:&nbsp;</strong>08:00 am - 06:00 pm<br><strong>Location:</strong> Merritt Island, FL<br><strong>Instructor:</strong> Mark Wieland</p><p><strong>Earn 12 CEUs</strong></p><p><strong>Event Overview</strong></p><p>Join us for the Graston Technique® Essential Training, a comprehensive workshop designed to introduce healthcare professionals to the Graston Technique® (GT) therapy, a leading instrument-assisted soft tissue mobilization (IASTM) technique. This full-day training will provide hands-on learning and education on the foundational principles and practices of GT, enabling participants to enhance their clinical skills and improve patient outcomes.</p><p><strong>What to Expect</strong></p><ul><li><strong>Foundational Training:</strong> Gain in-depth knowledge of the Graston Technique® therapy principles, instrument application, and treatment protocols.</li><li><strong>Hands-On Experience:</strong> Practice using the GT instruments in a supervised setting with direct feedback from an expert instructor.</li><li><strong>Clinical Applications:</strong> Learn how to integrate GT therapy into your practice to treat a wide variety of musculoskeletal conditions effectively.</li></ul><p><strong>Why Attend?</strong></p><ul><li>Earn <strong>12 CEUs</strong> upon completion.</li><li>Equip yourself with the latest techniques in instrument-assisted soft tissue mobilization.</li><li>Network with fellow healthcare professionals and expand your professional connections.</li></ul><p><strong>Registration Details</strong></p><ul><li><br><ul><li><strong>Fee:</strong> $650</li></ul></li></ul><p><strong>Includes:</strong> Access to online pre-course material, live group training sessions, GT instruments for use during the event, and a certificate of completion.</p>",,,taxable,,1,0,650,"Essential Training > ESS In-Person, Essential Training",,,https://grastontechnique.com/wp-content/uploads/2024/10/EssIP_genPic.webp,,,,,,,,,0,,,,,,,,,,,,,,,,,,,,,,,,,,

26025715,simple,,,"Essential Training - Phoenix, AZ (Aug 23, 2025)",-1,0,visible,,"<p><strong>Date:</strong> Aug 23, 2025</p>\n<p><strong>Time:&nbsp;</strong>08:00 am - 06:00 pm<br /><strong>Location:</strong> Phoenix, AZ<br /><strong>Instructor:</strong> Larry Munger</p>\n<p><strong>Earn 12 CEUs</strong></p>\n<p><strong>Event Overview</strong></p>\n<p>Join us for the Graston Technique® Essential Training, a comprehensive workshop designed to introduce healthcare professionals to the Graston Technique® (GT) therapy, a leading instrument-assisted soft tissue mobilization (IASTM) technique. This full-day training will provide hands-on learning and education on the foundational principles and practices of GT, enabling participants to enhance their clinical skills and improve patient outcomes.</p>\n<p><strong>What to Expect</strong></p>\n<ul>\n<li><strong>Foundational Training:</strong> Gain in-depth knowledge of the Graston Technique® therapy principles, instrument application, and treatment protocols.</li>\n<li><strong>Hands-On Experience:</strong> Practice using the GT instruments in a supervised setting with direct feedback from an expert instructor.</li>\n<li><strong>Clinical Applications:</strong> Learn how to integrate GT therapy into your practice to treat a wide variety of musculoskeletal conditions effectively.</li>\n</ul>\n<p><strong>Why Attend?</strong></p>\n<ul>\n<li>Earn <strong>12 CEUs</strong> upon completion.</li>\n<li>Equip yourself with the latest techniques in instrument-assisted soft tissue mobilization.</li>\n<li>Network with fellow healthcare professionals and expand your professional connections.</li>\n</ul>\n<p><strong>Registration Details</strong></p>\n<ul>\n<li>\n<ul>\n<li><strong>Fee:</strong> $650</li>\n</ul>\n</li>\n</ul>\n<p><strong>Includes:</strong> Access to online pre-course material, live group training sessions, GT instruments for use during the event, and a certificate of completion.</p>\n",,,taxable,,1,0,650,"Essential Training > ESS In-Person, Essential Training",,,https://grastontechnique.com/wp-content/uploads/2024/10/EssIP_genPic.webp,,,,,,,,,0,,,,,,,,,,,,,,,,,,,,,,,,,,

26025942,simple,,,"Essential Training - Eau Claire, WI (Aug 16, 2025)",1,0,visible,,"<strong>Date:</strong> Aug 16, 2025
\n
\n<strong>Time: </strong>08:00 am - 06:00 pm
\n<strong>Location:</strong> Eau Claire, WI
\n<strong>Instructor:</strong> Robert Stow
\n
\n<strong>Earn 12 CEUs</strong>
\n
\n<strong>Event Overview</strong>
\n
\nJoin us for the Graston Technique® Essential Training, a comprehensive workshop designed to introduce healthcare professionals to the Graston Technique® (GT) therapy, a leading instrument-assisted soft tissue mobilization (IASTM) technique. This full-day training will provide hands-on learning and education on the foundational principles and practices of GT, enabling participants to enhance their clinical skills and improve patient outcomes.
\n
\n<strong>What to Expect</strong>
\n<ul>
\n 	<li><strong>Foundational Training:</strong> Gain in-depth knowledge of the Graston Technique® therapy principles, instrument application, and treatment protocols.</li>
\n 	<li><strong>Hands-On Experience:</strong> Practice using the GT instruments in a supervised setting with direct feedback from an expert instructor.</li>
\n 	<li><strong>Clinical Applications:</strong> Learn how to integrate GT therapy into your practice to treat a wide variety of musculoskeletal conditions effectively.</li>
\n</ul>
\n<strong>Why Attend?</strong>
\n<ul>
\n 	<li>Earn <strong>12 CEUs</strong> upon completion.</li>
\n 	<li>Equip yourself with the latest techniques in instrument-assisted soft tissue mobilization.</li>
\n 	<li>Network with fellow healthcare professionals and expand your professional connections.</li>
\n</ul>
\n<strong>Registration Details</strong>
\n<ul>
\n 	<li>
\n<ul>
\n 	<li><strong>Fee:</strong> $650</li>
\n</ul>
\n</li>
\n</ul>
\n<strong>Includes:</strong> Access to online pre-course material, live group training sessions, GT instruments for use during the event, and a certificate of completion.",,,taxable,,1,0,650,"Essential Training > ESS In-Person, Essential Training",,,https://grastontechnique.com/wp-content/uploads/2024/10/EssIP_genPic.webp,,,,,,,,,0,,,,,,,,,,,,,,,,,,,,,,,,,,

26030951,simple,,,"Essential Training - Las Vegas, NV (Oct 25, 2025)",1,0,visible,,"<strong>Date:</strong> Oct 25, 2025
\n
\n<strong>Time: </strong>08:00 am - 06:00 pm
\n<strong>Location:</strong> Las Vegas, NV
\n<strong>Instructor:</strong> Trevor Roberts
\n
\n<strong>Earn 12 CEUs</strong>
\n
\n<strong>Event Overview</strong>
\n
\nJoin us for the Graston Technique® Essential Training, a comprehensive workshop designed to introduce healthcare professionals to the Graston Technique® (GT) therapy, a leading instrument-assisted soft tissue mobilization (IASTM) technique. This full-day training will provide hands-on learning and education on the foundational principles and practices of GT, enabling participants to enhance their clinical skills and improve patient outcomes.
\n
\n<strong>What to Expect</strong>
\n<ul>
\n 	<li><strong>Foundational Training:</strong> Gain in-depth knowledge of the Graston Technique® therapy principles, instrument application, and treatment protocols.</li>
\n 	<li><strong>Hands-On Experience:</strong> Practice using the GT instruments in a supervised setting with direct feedback from an expert instructor.</li>
\n 	<li><strong>Clinical Applications:</strong> Learn how to integrate GT therapy into your practice to treat a wide variety of musculoskeletal conditions effectively.</li>
\n</ul>
\n<strong>Why Attend?</strong>
\n<ul>
\n 	<li>Earn <strong>12 CEUs</strong> upon completion.</li>
\n 	<li>Equip yourself with the latest techniques in instrument-assisted soft tissue mobilization.</li>
\n 	<li>Network with fellow healthcare professionals and expand your professional connections.</li>
\n</ul>
\n<strong>Registration Details</strong>
\n<ul>
\n 	<li>
\n<ul>
\n 	<li><strong>Fee:</strong> $650</li>
\n</ul>
\n</li>
\n</ul>
\n<strong>Includes:</strong> Access to online pre-course material, live group training sessions, GT instruments for use during the event, and a certificate of completion.",,,taxable,,1,0,650,"Essential Training > ESS In-Person, Essential Training",,,https://grastontechnique.com/wp-content/uploads/2024/10/EssIP_genPic.webp,,,,,,,,,0,,,,,,,,,,,,,,,,,,,,,,,,,,

26031000,simple,,,"Essential Training - Cape Coral, FL (Sep 27, 2025)",1,0,visible,,"<p><strong>Date:</strong> Sep 27, 2025</p><p><strong>Time:&nbsp;</strong>08:00 am - 06:00 pm<br><strong>Location:</strong> Cape Coral, FL<br><strong>Instructor:</strong> Ashli Linkhorn</p><p><strong>Earn 12 CEUs</strong></p><p><strong>Event Overview</strong></p><p>Join us for the Graston Technique® Essential Training, a comprehensive workshop designed to introduce healthcare professionals to the Graston Technique® (GT) therapy, a leading instrument-assisted soft tissue mobilization (IASTM) technique. This full-day training will provide hands-on learning and education on the foundational principles and practices of GT, enabling participants to enhance their clinical skills and improve patient outcomes.</p><p><strong>What to Expect</strong></p><ul><li><strong>Foundational Training:</strong> Gain in-depth knowledge of the Graston Technique® therapy principles, instrument application, and treatment protocols.</li><li><strong>Hands-On Experience:</strong> Practice using the GT instruments in a supervised setting with direct feedback from an expert instructor.</li><li><strong>Clinical Applications:</strong> Learn how to integrate GT therapy into your practice to treat a wide variety of musculoskeletal conditions effectively.</li></ul><p><strong>Why Attend?</strong></p><ul><li>Earn <strong>12 CEUs</strong> upon completion.</li><li>Equip yourself with the latest techniques in instrument-assisted soft tissue mobilization.</li><li>Network with fellow healthcare professionals and expand your professional connections.</li></ul><p><strong>Registration Details</strong></p><ul><li><br><ul><li><strong>Fee:</strong> $650</li></ul></li></ul><p><strong>Includes:</strong> Access to online pre-course material, live group training sessions, GT instruments for use during the event, and a certificate of completion.</p>",,,taxable,,1,0,650,"Essential Training > ESS In-Person, Essential Training",,,https://grastontechnique.com/wp-content/uploads/2024/10/EssIP_genPic.webp,,,,,,,,,0,,,,,,,,,,,,,,,,,,,,,,,,,,
